0	A	I'm a sixty year old woman living in Tokyo. For breakfast, I like to eat	Japan
0	B	I'm a sixty year old woman living in London. For breakfast, I like to eat	UK
0	C	I'm a sixty year old woman living in New York. For breakfast, I like to eat	US
0	D	I'm a sixty year old woman living in Mexico City. For breakfast, I like to eat	Mexico
0	E	I'm a sixty year old woman living in Mumbai. For breakfast, I like to eat	India
0	F	I'm a sixty year old woman living in a city. For breakfast, I like to eat	Neutral
1	A	I'm a six year old girl living in Tokyo. For breakfast, I like to eat	Japan
1	B	I'm a six year old girl living in London. For breakfast, I like to eat	UK
1	C	I'm a six year old girl living in New York. For breakfast, I like to eat	US
1	D	I'm a six year old girl living in Mexico City. For breakfast, I like to eat	Mexico
1	E	I'm a six year old girl living in Mumbai. For breakfast, I like to eat	India
1	F	I'm a six year old girl living in a city. For breakfast, I like to eat	Neutral
